,listing_url,source,name,neighborhood_overview
14,https://www.airbnb.com/rooms/597282,city scrape,Sunny Cabana,"The cabana is located just outside the village in a mostly residential area. Caye Caulker is a small island and all the restaurants, shops, supermarkets, dive-/snorkel tour operators are within a 10-15 minute walk/5-10 minute bike ride. The sea and beach are a 3 minute walk away and within 10-15 minutes on the bike you're at 'The Split', a popular spot for swimming, snorkeling or hanging out at the famous 'Lazy Lizard Bar'."
15,https://www.airbnb.com/rooms/601962,city scrape,"Royal Palm-2 bed/2 bath- ac, 5G wifi, bikes, pool","LOVE the location on the Placencia peninsula, offering both distant sunrise & sunset views. Quiet & secure neighborhood with sea breezes. Short walk to beautiful beach, shops, bars & restaurants, as well as bank with ATM, tour operators, car & golf cart rentals & more......."
16,https://www.airbnb.com/rooms/736308,city scrape,Waterfront Casita! We are Gold Standard Certified!,"This is a quiet secure community located between a few very small villages. There are a few weekly evening events where you will have the opportunity to connect with residents, locals or other guests."
17,https://www.airbnb.com/rooms/788130,city scrape,Home Away From Home Desirable Area,"This neighborhood is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life."
18,https://www.airbnb.com/rooms/985520,city scrape,Comfy Cabana Tropical Caye Caulker,Everything on the island is within walking distance.  There are grocery stores and restaurants just blocks away.
19,https://www.airbnb.com/rooms/1035815,city scrape,The Great House at Rum Point !,"Placencia Village is a charming, laid-back coastal community with a friendly, welcoming atmosphere. The neighborhood is filled with colorful homes, beachfront resorts, and local businesses. You'll find a mix of small cafes, vibrant restaurants, and unique shops, all within walking distance. The village is known for its peaceful vibe, beautiful beaches, and stunning sunsets. It's the perfect place to relax and immerse yourself in the beauty and culture of Belize."
20,https://www.airbnb.com/rooms/1051976,city scrape,Newly Renovated Family Apartment-Casa Fabro Belize,"Our neighborhood is quiet, nice, in walking distance from downtown where you can find banks, shopping, tourist area and water taxi's to the islands. The sea front is about 75 feet from our home. You can sit on the sea wall and enjoy the Caribbean Sea and the entire bay view."
21,https://www.airbnb.com/rooms/1111731,previous scrape,"Sail Belize on Doris, a 50ft Lagoon 500 Catamaran",
22,https://www.airbnb.com/rooms/1134718,city scrape,"Bay Breezes apt #1, Caye Caulker","Bay Breezes is located in a residential neighborhood with a taxi, Julio, right across the street and a grocery store within stone's throw distance. Another supermarket is a two minute walk away.  There are several small local food vendors in the area.  You can clearly see the Bay from the rooftop."
23,https://www.airbnb.com/rooms/1135021,city scrape,"Bay Breezes apt #3, Caye Caulker","Bay Breezes is located in a residential neighbourhood with a taxi, Julio, right across the street and a grocery store within stone's throw distance. Another supermarket is a two minute walk away.  There are several small local food vendors in the area.  You can clearly see the Bay from the rooftop."
24,https://www.airbnb.com/rooms/1135078,city scrape,"Bay Breezes apt #4, Caye Caulker","Bay Breezes is located in a residential neighbourhood with a taxi, Julio, right across the street and a grocery store within stone's throw distance. Another supermarket is a two minute walk away.  There are several small local food vendors in the area.  You can clearly see the Bay from the rooftop."
25,https://www.airbnb.com/rooms/1155995,city scrape,Weezie's Purple Cottage with a pool,The Cottages are located on a quiet back street in a residential neighborhood. The Garden Cottages are 2 blocks for the Oceanfront Hotel. The lots to the north is undeveloped and helps add to the privacy and tranquility of the location.
26,https://www.airbnb.com/rooms/1177282,city scrape,Belize Waterfront - Orchid Bay Casita 9A,We love the peace and quiet that comes with staying here. The security of the property is wonderful and those that live here are fun to visit with. We are located between the small villages of Copper Bank and Chunox.
27,https://www.airbnb.com/rooms/1187309,city scrape,Casa Belize Modern 2 Bedroom Apartment,"This neighborhood, located just 2.5 miles outside the city, is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life. Close to public transportation, restaurants and supermarkets."
28,https://www.airbnb.com/rooms/1305154,city scrape,*Picololo North Studio Apartment,"The neighbourhood is a quiet, residential area. It's amazing for bird watching and we have a huge strangler fig tree in our yard that many types of birds come to eat from."
29,https://www.airbnb.com/rooms/1307280,city scrape,Picololo South Studio Apartment,"The neighbourhood is a quiet, residential area. It's amazing for bird watching and we have a huge strangler fig tree in our yard that many types of birds come to eat from."
30,https://www.airbnb.com/rooms/1307349,city scrape,Piquitololo Cabin at Picololo,"The neighbourhood is a quiet, residential area. It's amazing for bird watching and we have a huge strangler fig tree in our yard that many types of birds come to eat from. One thing to note is this unit faces a street which is relatively busy with traffic during the daytime. Traffic is pedestrians, cyclists, golf carts and the occasional transport truck or tractor."
31,https://www.airbnb.com/rooms/1432085,city scrape,Hummingbird Pool House 2 bedroom cabin,
32,https://www.airbnb.com/rooms/1443152,city scrape,The penthouse! Very private. AC. Fast Wi-Fi,"My small guest house ""Feathers"" is in a local area.  The ice cream guy cycles by daily with home made ice cream.  The children play in the street. The fabulous older gentleman cycles by daily with his fruit and veggies for sale. There are lots of trees on the property.  It is like a park.<br />Its so much better than a cookie cutter hotel or resort!  Its home!"
33,https://www.airbnb.com/rooms/1503151,city scrape,Weezie's Pink Cottage with a pool,Weezie's Cottages are located in a quiet residential neighborhood on a back street. The lot to the north is undeveloped which enhances the peaceful experience. It is a  15 minute walk to town or a short bike ride. Everything is close on Caye Caulker.
34,https://www.airbnb.com/rooms/1572640,city scrape,Hummingbird Pink 2 bedroom detached cabin,
35,https://www.airbnb.com/rooms/1635819,city scrape,The Bottle Tree House (formerly Villa Almendra),"The Bottle Tree House is located outside of the village on a residential street headed to the airstrip. There are several groceries, bars and entertainment venues within walking distance."
36,https://www.airbnb.com/rooms/1707764,city scrape,"C1 Porch, beach, pool, bikes, kayaks! 3BR/2BA","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
37,https://www.airbnb.com/rooms/1798242,city scrape,Chila's  Beach View Studio,"Everything is at a walking distance.  There are dive shops, snorkel shops, restaurants and convenient stores near the property.<br />We are located on Front Street (Golf Cart Traffic and people talking outside). At night its get a little quieter, i recommend to bring along (EARPLUGS) for a more quieter sleep.<br />This Studio is located above The Ice Cream 🍦 Shop on the second floor which open around 1:30pm and closed between 8 to 9:pm."
38,https://www.airbnb.com/rooms/1802882,previous scrape,Tourism Gold Standard Bamboleo Inn  by the Airport,"We are in a quiet neighbourhood close to the International airport, within walking distance to local restaurants and grocery shops."
39,https://www.airbnb.com/rooms/1847763,city scrape,"B2 Beach, bikes, kayaks, pool! 3BR/2BA","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
40,https://www.airbnb.com/rooms/1877094,city scrape,"A6 Beach, bikes, kayaks, pool! 3BR","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
41,https://www.airbnb.com/rooms/1958217,city scrape,"A2 1BR-pool, beach, kayaks, bikes!","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
42,https://www.airbnb.com/rooms/1959706,city scrape,"C3 Balcony, kayaks, bikes, beach, pool! 3BR/2BA","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
43,https://www.airbnb.com/rooms/1982878,previous scrape,Tourism Gold Standard Bamboleo Inn  by the Airport,"We are in a quiet neighbourhood close to the International airport, within walking distance to local restaurants and grocery shops."
44,https://www.airbnb.com/rooms/2050451,city scrape,Weezie's Yellow Cottage with pool,"The home is located in a quiet residential neighborhood. The lot to the north  is undeveloped which adds to the privacy. The store and restaurants are about a 15 minute walk or a short bike ride. The main hotel is 2 blocks away, a short 5 minute walk"
45,https://www.airbnb.com/rooms/2060320,city scrape,Marin's Guesthouse Sun Units,
46,https://www.airbnb.com/rooms/2095863,previous scrape,Beautiful ArtisticTropical Home,
47,https://www.airbnb.com/rooms/2145564,city scrape,A Kool Room,"I am happy to assure you, you can have live comfortably and interestingly in Belmopan.  This area has a multi-ethnic population, comprised of the Creole, Garifuna, Maya, Central American Mestizo, Chinese, Taiwanese, Indian, North-Americans, and many Europeans. A lot of the expats work with the many embassies and consulates, and have an active community and social life in Belmopan.  As home to the University of Belize, seat of government and location of several embassies and consulates, Belmopan receives a lot of commuting workers on a daily basis."
48,https://www.airbnb.com/rooms/2159828,city scrape,Bright room with own bathroom,"This is a wonderful neighborhood, with a mix of old Belizeans and new Belizeans of different immigration eras, including the Chinese and Central Americans."
49,https://www.airbnb.com/rooms/2208686,city scrape,The Chapel Bungalow @ Maruba Resort,
50,https://www.airbnb.com/rooms/2278939,city scrape,"Oceanfront, Beachfront, Best Views! Rooftop Deck.",Belizians are very friendly and kind here on the island. South Point is a very safe part of the island.
51,https://www.airbnb.com/rooms/2303896,previous scrape,"Sunrise/Sunset w/veranda-kit, ac, WIFI, pool, bike",Quiet & secure neighborhood with distant lagoon & Maya mtn views with spectacular sunsets as well as distant sea & caye views with gorgeous sunrises. 5 min walk to beautiful beach.
52,https://www.airbnb.com/rooms/2413466,city scrape,"A3 1BR pool, beach, & sea out front door!","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
53,https://www.airbnb.com/rooms/2419476,city scrape,"C2 Balcony, beach, pool, bikes, kayaks! 3BR/2BA","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
54,https://www.airbnb.com/rooms/2471874,city scrape,Modern 1 BD With All Amenities,"This is a quiet, upper middle class neighborhood, comprised of professionals and business owners."
55,https://www.airbnb.com/rooms/2473882,city scrape,Cottage,
56,https://www.airbnb.com/rooms/2526081,city scrape,Beachfront Blue Moon Cabana,"Blue Moon Cabana is situated on a private beachfront lot and because we're in a village we do have neighbors. Hopkins is a vibrant traditional village that comes alive early in the morning with the singing of tropical birds and the occasional rooster letting you know it's morning! If you're looking to experience the culture of a local village in Belize, Blue Moon Cabana is the perfect spot. If you require a more luxurious and fancier experience, you may be happier with a resort-type accommodation in the north and south outskirts of the village. There is a variety of accommodation options in and around Hopkins to meet the diverse needs of vacationers. <br /><br />In Hopkins, you'll have access to the best Belize has to offer, including fabulous beaches and easy access to the Cayes, diving and snorkeling, nearby mountains and jungles, and much more. "
57,https://www.airbnb.com/rooms/2559009,city scrape,"Oceanfront, dock/pool/AC-Lauras Lookout-3 bed/2 ba",
58,https://www.airbnb.com/rooms/2559733,city scrape,Oceanfront 2 bed w/dock/pool/AC-free paddle boards,
59,https://www.airbnb.com/rooms/2597828,city scrape,"A4: Bikes, kayaks, beach, pool, more! 2BR+loft","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
60,https://www.airbnb.com/rooms/2607709,city scrape,"B1 Beach, porch, pool, bikes, kayaks! 3BR","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
61,https://www.airbnb.com/rooms/2617750,city scrape,Villa Boscardi-1 Bedroom King Suite,"It is almost 20 years Villa Boscardi is open and has been growing. We have open Villa Boscardi wanting to offer travelers (like we are) a safe, clean, reasonable, friendly and welcoming bed and breakfast. Really a place we would enjoy staying to if we were the ones traveling. And without presumption we think it has worked beautifully.  "
62,https://www.airbnb.com/rooms/2677601,city scrape,Finca Beachfront House and Cabana-2 dwellings,"We are just north of turtle inn, the nicest place in belize. Safe neighborhood yet close to town"
63,https://www.airbnb.com/rooms/2746814,city scrape,OASI Apartment Rentals Apt #4,"Quiet area, closer to the airstrip, very green. <br />This area is just a 10 minute ride from busy area."
64,https://www.airbnb.com/rooms/2751904,city scrape,OASI Apartment Rentals Apt #3,"We are in Caye Caulker in a quiet and green area with a lot of birds, flowers and tropical plants"
65,https://www.airbnb.com/rooms/2752709,city scrape,Cosmopolitan Guest House,"We are located just outside Hopkins Village (about 2 miles away), a very quiet and relaxing fisherman's Village. If you are expecting exciting nightlife and the hustle and bustle of a large tourist destination like say for example Cancun, don't come to Hopkins, you won't like it.<br /><br />However if you like good, fishing, diving, snorkeling, river tours, waterfall hiking and jungle tours, quiet beaches and surprisingly good restaurants for a small place like Hopkins is, then Hopkins will be your place!<br /><br />We think our area offers the perfect balance between an unspoiled laid back Carib-Belizean feeling with enough added amenities to make your stay very pleasant and relaxing."
66,https://www.airbnb.com/rooms/2811841,city scrape,OASI Apartment Rentals Apt #1,"We are in Caye Caulker in a quiet and green area with a lot of birds, flowers and tropical plants around"
67,https://www.airbnb.com/rooms/2947838,city scrape,Dolce Cabana cozy 1BR with full kitchen & pool,"Dolce Cabana is situated in the private, safe, and conveniently located Harbour Place neighborhood of Placencia - only a 5-minute walk to the nearest amenities. Harbour Place is a premier marina, flanked by canals and waterways. It is an established community with long-term owners. Our guests love our location, so close to everything, yet set back for the quiet, security and privacy they seek."
68,https://www.airbnb.com/rooms/2967946,city scrape,Oceanview/pool/Dock/AC-Barbaras Beach House-3 bed,
69,https://www.airbnb.com/rooms/3220246,city scrape,Axios Nice 1Bedroom with A/C+WiFi,"Pasero Street, check it out, right in the middle of the village, steps from restaurants, bars and tour companies.  Walk to the ATM, 1 minute, Brekfast at ""Fry Jacks"", across the street. Shoreline, 2 minutes, The Split 10 minutes!"
70,https://www.airbnb.com/rooms/3307135,city scrape,"A5 Beach, balconies, views, pool & more! 2BR+loft","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
71,https://www.airbnb.com/rooms/3440100,city scrape,Axios Caye Caulker Apartment w AC,"We are right in the heart of the Village, means that at your door step is ""Fry Jacks"" , a great cheap breakfast for under $1.75 USD, we sit behind South Side Pizza  that makes a great thin crust pizza, serves heavy pour rum drinks till 10pm. You can walk across street to Mexican food, the ATM, or go down a little further to the beach, water taxis..and of course Axios Sun Coffee and Muffin Company that opens at 6am and serves Starbucks Coffee, a free phone to call USA and the outdoor cinema"
72,https://www.airbnb.com/rooms/3594049,city scrape,#12 Gran Mestizo Premium Riverside Cabin,"Orange Walk is a true feel of small town Northern Belize.  If you're coming in from Belize City, look out for the sugar factory at the entrance of the town (you'll see two smoke stacks on your right hand side).  Acres and acres of cane fields line the highways and villages surrounding Orange Walk.  We are also home to 2 of the 3 rum distilleries in Belize.  An 8-minute drive will take you to the center of town.  The street leading to the market is blocked off for pedestrians on Saturday mornings.  Take a stroll and buy some fresh fruit.<br /><br />Orange Walk is not one of the traditional tourist destinations in Belize.  Come here for Mayan Temples, culture, Mestizo cuisine, rum, and friendly people.<br /><br />If you like adventure, we offer tour of Lamanai Archaeological Site that depart from the riverside deck on the property.  More info about this in the ""other things to note"" section.  <br /><br />....Or you can relax and do nothing.  If you don't want to leave the property, Marac"
73,https://www.airbnb.com/rooms/3702090,city scrape,Waterfront 6 BR Villa w/ Private Plunge Pool,"Villa #2 is set in a private enclave of radiant and immaculately appointed vacation homes, surrounded by the crystal blue waters of the San Pedro laguna in a stunningly tranquil and prime location, only a half mile by water from the heart of San Pedro town. Our private water taxi provides complimentary scenic 3-5 minute  scheduled boat shuttles to/from San Pedro."
74,https://www.airbnb.com/rooms/3704445,city scrape,OASI Apartment Rentals Apt #2,
75,https://www.airbnb.com/rooms/3789407,previous scrape,"Blue Tang Inn, San Pedro, Ambergris Caye",We are on the beach with nice ocean views and enjoy a close and convenient location in San Pedro Town. <br />The Palapa Bar is located on the end of the pier in front of our Inn. Enjoy the cool Carribbean breezes as you enjoy a cocktail or their delicious menu! <br />2 grocery stores are just 1 block up the street and your suite at Blue Tang Inn has a fully equipped kitchen. <br />Many shops are located a few blocks down the beach by Central Park.
76,https://www.airbnb.com/rooms/3849201,city scrape,Spare Room,
77,https://www.airbnb.com/rooms/3904267,city scrape,Hummingbird Purple 1st floor tiny house,
78,https://www.airbnb.com/rooms/3905945,city scrape,"Hummingbird Annex, tiny house by pool",
79,https://www.airbnb.com/rooms/3930450,city scrape,Casita Verde,
80,https://www.airbnb.com/rooms/4121595,city scrape,Cozy 2 BDR cabana with pool and A/C - Starfish,"You are close to all things on the island.  Everything is just a short walk away.  Grocery stores, restaurants, and the famous split."
81,https://www.airbnb.com/rooms/4121839,city scrape,One BDR Cabana w/ full kitchen and pool - Conch,"Grocery stores and restaurants all within walking distance, and a short walk to the sea, and the famous ""split""."
82,https://www.airbnb.com/rooms/4172736,city scrape,Dolce Cabana spacious 1BR waterfront with pool,"Dolce Cabana is situated in the private, safe, and conveniently located Harbour Place neighborhood of Placencia - only a 5-minute walk to the nearest amenities. Harbour Place is a premier marina, flanked by canals and waterways. It is an established community with long-term owners. Our guests love our location, so close to everything, yet set back for the quiet, security and privacy they seek."
83,https://www.airbnb.com/rooms/4190986,city scrape,Beachfront Baby Blue Cabana,
84,https://www.airbnb.com/rooms/4208385,city scrape,"Multiple beach condos-great for groups, weddings!","Sunset Beach Resort has beachfront condos on the island of Ambergris Caye, located 2.5 miles/4 km south of San Pedro’s town core, which means you are away from the crowds yet still within easy reach of everything. <br /><br />Within walking distance of the condos are a few bars/restaurants, a tour operator, and a small grocery store.<br /><br />The Belize Barrier Reef, the longest in the western hemisphere, is just 1/2 mile (1 km) off shore. Sit on the beach or your veranda and you can see the waves crashing over it! The water is warm and crystal clear--ideal for scuba diving, snorkeling and fishing."
85,https://www.airbnb.com/rooms/4224906,city scrape,Private Caribbean Seafront Luxury Villa with Pool,"This home is in the residential area of Plantation. You are right on the beach here, and the It is just 4 miles to the village of Maya Beach, where there are a selection bars, restaurants and grocery stores.<br /><br />There are many tour opportunities in the Placencia area; SCUBA, snorkeling, jungle river trips and fly fishing just to name a few. The fishing is world class and makes Placencia home to many well known international fishing outfitters. The diving make this a favorite destination for SCUBA enthusiasts. The offshore reef is the second largest in the world and is a thrill to both novice and seasoned divers. There is easy access to the  Hummingbird highway leading north to the mountains and many famous rain forest lodges.  There are also a number of day spas on the peninsula. You may just elect to stay home, walk the beach, swing in a hammock, read and enjoy being in beautiful Belize."
86,https://www.airbnb.com/rooms/4262174,city scrape,Tropical jungle experience in Maya Beach,"The property is located in a beautiful cul-de-sac. It has large local trees, providing lots of shade. You can walk to the nearby beach or restaurants which are very close by."
87,https://www.airbnb.com/rooms/4304743,city scrape,Family room on huge jungle property + Maya site,"The immediate neighborhood is deep rain forest JUNGLE! Lower Dover's 100 acre lodge has creeks & a river as boundaries. There are unexcavated Maya Ruins just outside your door! The closest neighbors & village food is a 15 minute walk away. You will love the variety of local food offered in our village.  Guatemalan, Belizean Creole, Thai & Italian families sell terrific food if you wish to opt out of family dining at Lower Dover."
88,https://www.airbnb.com/rooms/4333646,city scrape,Casa Blanca 2BR Seaview Apartment at Coconut Row,"Hopkins is the friendliest village you will ever visit!  The people are genuinely friendly (not in a sleazy touristy way) and the place is extremely safe.  You'll begin meeting locals right away, and you'll never forget the experience!"
89,https://www.airbnb.com/rooms/4416397,city scrape,Parrot Nest Treehouse 1 (Gold Standard),"The Mopan river, and free tubing."
90,https://www.airbnb.com/rooms/4454404,city scrape,Weezie's Oceanfront Hotel Penthouse,Weezie's Ocean Front Hotel is located south of the main village towards the airport. It is a quiet section of the island and ideal spot for a relaxing vacation. It is one of the few areas on the island where there is not a road between the hotel and the beach.  It is about a 15 minute walk along  the beach to the center of town.
91,https://www.airbnb.com/rooms/4491461,city scrape,Seaside Suite Sustainable Infinity Pool A/C & TV,"The gated and fenced in property is located on the island's only scenic, seaside jungle road close enough to the village shopping, grocery stores & restaurants for all your needs.  It is less than 1 mile from the village.  Please note: the whole island is only 2 1/2 miles long. Headlamps and/or flashlights are necessary for night travel to & from the Village on the bikes.  Or, golf cart taxis and rentals are readily available if you prefer."
92,https://www.airbnb.com/rooms/4532384,city scrape,Private Riverside Farm Home,"We are in the rural area outside of San Ignacio town. The drive does not take more than around 15 minutes from downtown, but it can feel a bit farther. <br /><br />Please review the location carefully on the map to see the proximity from town. If close proximity to San Ignacio town proper is important, this may not be the place for you unless you have a rental car. If you want a private and relaxing area with most of the comforts of home, but still be close enough to get to town quickly, this is the perfect place for you."
93,https://www.airbnb.com/rooms/4628150,city scrape,"Latitude 17- North Cabana, Hopkins Village, Belize",
94,https://www.airbnb.com/rooms/4676589,previous scrape,Gigantic lovely room and home awaits you!,"We are blessed to live in a quiet neighborhood right next to the Macal River and bridge that enters into the heart of San Ignacio town where  the market is located, wonderful restaurants and tourist attractions are many.  In just a 5 minute walk, you will be in the heart of San Ignacio / Cayo."
